ImageId,Label
1,2
2,0
3,9
4,9
5,3
6,9
7,0
8,3
9,0
10,3
11,3
12,8
13,3
14,0
15,9
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,8
24,8
25,9
26,9
27,2
28,9
29,8
30,9
31,8
32,8
33,9
34,3
35,6
36,3
37,9
38,8
39,8
40,6
41,9
42,7
43,9
44,9
45,8
46,3
47,8
48,8
49,8
50,8
51,6
52,8
53,8
54,3
55,8
56,2
57,1
58,8
59,6
60,0
61,9
62,1
63,9
64,0
65,0
66,0
67,1
68,8
69,0
70,1
71,6
72,8
73,8
74,8
75,8
76,8
77,3
78,9
79,2
80,3
81,8
82,9
83,1
84,8
85,9
86,2
87,9
88,3
89,6
90,9
91,3
92,0
93,6
94,6
95,8
96,9
97,3
98,8
99,9
100,9
101,0
102,3
103,8
104,0
105,9
106,8
107,0
108,3
109,0
110,9
111,0
112,0
113,9
114,1
115,1
116,8
117,1
118,1
119,3
120,8
121,3
122,9
123,2
124,1
125,6
126,3
127,8
128,9
129,8
130,9
131,3
132,8
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,0
142,3
143,9
144,8
145,8
146,8
147,9
148,9
149,3
150,8
151,8
152,3
153,8
154,8
155,3
156,8
157,9
158,3
159,9
160,8
161,3
162,0
163,9
164,3
165,1
166,8
167,9
168,6
169,3
170,0
171,3
172,9
173,9
174,6
175,1
176,3
177,9
178,9
179,1
180,2
181,9
182,8
183,3
184,2
185,9
186,9
187,2
188,1
189,8
190,0
191,6
192,8
193,9
194,9
195,6
196,0
197,9
198,9
199,0
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,9
209,6
210,2
211,0
212,9
213,3
214,8
215,9
216,8
217,1
218,6
219,3
220,9
221,2
222,3
223,1
224,3
225,8
226,8
227,9
228,6
229,1
230,0
231,0
232,9
233,9
234,1
235,8
236,3
237,2
238,8
239,8
240,6
241,3
242,6
243,2
244,3
245,8
246,3
247,9
248,8
249,3
250,8
251,9
252,9
253,1
254,3
255,8
256,9
257,8
258,1
259,9
260,3
261,6
262,3
263,8
264,8
265,9
266,0
267,6
268,8
269,3
270,1
271,6
272,0
273,6
274,3
275,8
276,9
277,1
278,9
279,8
280,9
281,0
282,9
283,2
284,0
285,3
286,3
287,9
288,8
289,9
290,9
291,8
292,9
293,9
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,8
304,8
305,8
306,3
307,9
308,1
309,9
310,3
311,8
312,8
313,9
314,8
315,0
316,3
317,8
318,8
319,1
320,8
321,9
322,1
323,1
324,9
325,8
326,9
327,3
328,1
329,3
330,8
331,6
332,3
333,1
334,3
335,8
336,8
337,0
338,8
339,6
340,8
341,6
342,2
343,1
344,8
345,6
346,0
347,3
348,8
349,3
350,8
351,6
352,9
353,9
354,8
355,9
356,8
357,9
358,9
359,2
360,8
361,3
362,6
363,3
364,8
365,8
366,2
367,3
368,8
369,1
370,6
371,8
372,8
373,9
374,9
375,9
376,6
377,9
378,8
379,3
380,9
381,6
382,8
383,8
384,9
385,2
386,6
387,8
388,1
389,3
390,9
391,1
392,9
393,9
394,9
395,6
396,1
397,1
398,1
399,9
400,3
401,9
402,9
403,6
404,1
405,1
406,1
407,9
408,3
409,8
410,8
411,3
412,8
413,9
414,1
415,2
416,9
417,1
418,1
419,3
420,8
421,9
422,3
423,6
424,8
425,3
426,1
427,9
428,9
429,9
430,9
431,9
432,8
433,3
434,2
435,8
436,1
437,3
438,9
439,8
440,0
441,8
442,9
443,9
444,9
445,9
446,9
447,1
448,8
449,3
450,9
451,9
452,9
453,6
454,9
455,3
456,9
457,2
458,3
459,9
460,8
461,1
462,9
463,8
464,0
465,8
466,1
467,9
468,9
469,9
470,1
471,1
472,9
473,9
474,8
475,8
476,0
477,1
478,3
479,1
480,0
481,9
482,8
483,1
484,2
485,9
486,9
487,9
488,8
489,3
490,9
491,9
492,9
493,3
494,8
495,2
496,9
497,8
498,3
499,3
500,0
501,6
502,3
503,9
504,0
505,8
506,8
507,3
508,3
509,0
510,6
511,9
512,8
513,8
514,3
515,8
516,8
517,8
518,9
519,8
520,3
521,2
522,9
523,0
524,9
525,8
526,1
527,0
528,1
529,1
530,9
531,0
532,8
533,3
534,8
535,9
536,8
537,6
538,3
539,9
540,3
541,0
542,3
543,8
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,3
555,8
556,0
557,9
558,8
559,6
560,2
561,8
562,3
563,8
564,1
565,6
566,8
567,8
568,1
569,1
570,9
571,0
572,8
573,3
574,3
575,0
576,9
577,1
578,8
579,8
580,2
581,8
582,1
583,8
584,6
585,9
586,1
587,9
588,3
589,8
590,3
591,8
592,8
593,8
594,8
595,3
596,6
597,0
598,6
599,0
600,3
601,1
602,1
603,9
604,1
605,8
606,2
607,8
608,8
609,6
610,8
611,9
612,9
613,3
614,3
615,8
616,9
617,9
618,8
619,0
620,9
621,8
622,3
623,9
624,9
625,8
626,8
627,1
628,3
629,6
630,9
631,6
632,1
633,8
634,6
635,1
636,9
637,9
638,9
639,8
640,3
641,0
642,9
643,9
644,8
645,9
646,8
647,8
648,9
649,1
650,8
651,9
652,9
653,8
654,0
655,8
656,3
657,8
658,3
659,3
660,7
661,2
662,3
663,8
664,0
665,9
666,8
667,1
668,3
669,3
670,6
671,3
672,9
673,8
674,3
675,8
676,9
677,9
678,6
679,6
680,0
681,6
682,9
683,8
684,1
685,3
686,3
687,9
688,6
689,9
690,9
691,8
692,6
693,0
694,1
695,8
696,9
697,3
698,9
699,8
700,8
701,9
702,0
703,9
704,0
705,6
706,8
707,8
708,9
709,6
710,8
711,3
712,8
713,1
714,8
715,8
716,6
717,2
718,3
719,9
720,3
721,9
722,3
723,1
724,0
725,1
726,0
727,6
728,9
729,8
730,8
731,9
732,1
733,3
734,2
735,9
736,9
737,1
738,3
739,1
740,8
741,9
742,8
743,3
744,9
745,3
746,9
747,8
748,9
749,8
750,6
751,9
752,9
753,9
754,8
755,8
756,9
757,9
758,1
759,1
760,8
761,8
762,0
763,8
764,0
765,9
766,0
767,0
768,8
769,1
770,8
771,2
772,8
773,0
774,1
775,8
776,3
777,9
778,6
779,3
780,1
781,1
782,6
783,9
784,8
785,3
786,8
787,3
788,9
789,3
790,8
791,3
792,0
793,8
794,0
795,9
796,3
797,1
798,6
799,9
800,9
801,1
802,1
803,3
804,3
805,1
806,9
807,9
808,6
809,9
810,1
811,8
812,9
813,3
814,1
815,6
816,9
817,0
818,9
819,9
820,8
821,3
822,0
823,8
824,0
825,1
826,9
827,8
828,9
829,8
830,2
831,8
832,8
833,8
834,9
835,3
836,9
837,6
838,1
839,3
840,3
841,8
842,9
843,0
844,8
845,8
846,6
847,9
848,2
849,8
850,8
851,8
852,9
853,9
854,9
855,2
856,8
857,1
858,3
859,9
860,3
861,0
862,9
863,1
864,8
865,8
866,3
867,6
868,9
869,3
870,3
871,9
872,8
873,9
874,3
875,3
876,3
877,1
878,1
879,0
880,1
881,9
882,9
883,1
884,1
885,8
886,9
887,1
888,8
889,9
890,9
891,1
892,9
893,6
894,0
895,9
896,2
897,9
898,9
899,8
900,1
901,8
902,3
903,3
904,9
905,9
906,8
907,8
908,3
909,2
910,9
911,2
912,8
913,9
914,8
915,1
916,8
917,8
918,6
919,1
920,0
921,8
922,3
923,8
924,9
925,8
926,9
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,9
935,8
936,3
937,9
938,9
939,9
940,8
941,6
942,2
943,6
944,1
945,0
946,9
947,3
948,2
949,9
950,3
951,6
952,9
953,8
954,8
955,3
956,2
957,8
958,3
959,6
960,2
961,9
962,9
963,9
964,0
965,0
966,3
967,1
968,8
969,8
970,3
971,3
972,2
973,9
974,6
975,9
976,0
977,8
978,0
979,9
980,8
981,3
982,8
983,9
984,9
985,9
986,3
987,0
988,3
989,3
990,2
991,1
992,9
993,0
994,6
995,8
996,3
997,6
998,2
999,8
1000,9
1001,0
1002,9
1003,0
1004,9
1005,1
1006,3
1007,9
1008,0
1009,3
1010,9
1011,2
1012,6
1013,3
1014,9
1015,3
1016,9
1017,2
1018,3
1019,9
1020,8
1021,8
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,8
1029,8
1030,1
1031,9
1032,1
1033,8
1034,9
1035,9
1036,8
1037,3
1038,8
1039,8
1040,0
1041,1
1042,6
1043,1
1044,9
1045,2
1046,2
1047,9
1048,9
1049,8
1050,6
1051,2
1052,8
1053,3
1054,3
1055,9
1056,1
1057,1
1058,3
1059,6
1060,3
1061,0
1062,0
1063,6
1064,0
1065,9
1066,9
1067,9
1068,0
1069,8
1070,9
1071,8
1072,8
1073,9
1074,6
1075,9
1076,2
1077,6
1078,1
1079,8
1080,9
1081,8
1082,0
1083,2
1084,3
1085,9
1086,9
1087,6
1088,6
1089,3
1090,1
1091,3
1092,8
1093,8
1094,1
1095,9
1096,6
1097,8
1098,3
1099,3
1100,3
1101,9
1102,2
1103,9
1104,1
1105,8
1106,2
1107,0
1108,6
1109,9
1110,6
1111,9
1112,2
1113,0
1114,1
1115,0
1116,3
1117,2
1118,6
1119,6
1120,9
1121,8
1122,8
1123,9
1124,1
1125,6
1126,3
1127,8
1128,6
1129,1
1130,2
1131,0
1132,8
1133,8
1134,0
1135,3
1136,6
1137,8
1138,8
1139,9
1140,9
1141,0
1142,0
1143,8
1144,1
1145,2
1146,8
1147,9
1148,3
1149,8
1150,3
1151,8
1152,9
1153,8
1154,8
1155,9
1156,9
1157,8
1158,1
1159,8
1160,8
1161,9
1162,1
1163,9
1164,0
1165,6
1166,9
1167,8
1168,2
1169,9
1170,8
1171,8
1172,3
1173,9
1174,1
1175,8
1176,8
1177,8
1178,9
1179,2
1180,3
1181,3
1182,8
1183,9
1184,9
1185,0
1186,9
1187,0
1188,3
1189,3
1190,9
1191,9
1192,3
1193,3
1194,8
1195,8
1196,8
1197,3
1198,8
1199,9
1200,9
1201,0
1202,8
1203,3
1204,8
1205,1
1206,9
1207,9
1208,6
1209,9
1210,8
1211,8
1212,8
1213,8
1214,9
1215,8
1216,9
1217,3
1218,9
